STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Loại chứng khoán,Thị trường,Ngày hủy ĐK,Lý do
468,CVNM2014,VN0CVNM20141,Chứng quyền VNM/VCSC/M/Au/T/A1,Chứng quyền,HOSE,12/04/2021,Hủy niêm yết do đáo hạn chứng quyền
469,CFPT2014,VN0CFPT20144,Chứng quyền FPT/VCSC/M/Au/T/A2,Chứng quyền,HOSE,12/04/2021,Hủy niêm yết do đáo hạn
470,CKDH2004,VN0CKDH20046,Chứng quyền CKDH01MBS20CE,Chứng quyền,HOSE,12/04/2021,Hủy niêm yết do đáo hạn chứng quyền
471,GSC,VN000000GSC9,Cổ phiếu Công ty cổ phần Thuỷ điện Geruco Sông Côn,Cổ phiếu,Đại chúng chưa niêm yết,09/04/2021,Công ty cổ phần Thủy điện Geruco Sông Côn không đáp ứng điều kiện là Công ty đại chúng.
472,CFPT2013,VN0CFPT20136,Chứng quyền FPT/BSC/C/6M/EU/Cash/2020-01,Chứng quyền,HOSE,09/04/2021,Hủy niêm yết do đáo hạn
473,CHPG2024,VN0CHPG20246,Chứng quyền HPG/BSC/C/6M/EU/Cash/2020-01,Chứng quyền,HOSE,09/04/2021,Hủy niêm yết do đáo hạn
474,TD1621453,VNTD16214536,Trái phiếu Chính phủ đấu thầu đợt 35/2016,Trái phiếu,Trái phiếu chuyên biệt,07/04/2021,Trái phiếu đáo hạn
475,BJC,VN000000BJC9,Cổ phiếu Công ty cổ phần VRG – Bảo Lộc,Cổ phiếu,Đại chúng chưa niêm yết,07/04/2021,Công ty cổ phần VRG - Bảo Lộc không đáp ứng điều kiện là Công ty đại chúng.
476,CSTB2006,VN0CSTB20063,Chứng quyền.STB.KIS.M.CA.T.06,Chứng quyền,HOSE,06/04/2021,Huỷ niêm yết do đáo hạn chứng quyền
477,CVRE2007,VN0CVRE20073,Chứng quyền.VRE.KIS.M.CA.T.06,Chứng quyền,HOSE,06/04/2021,Chứng quyền đáo hạn
478,CHPG2010,VN0CHPG20105,Chứng quyền.HPG.KIS.M.CA.T.07,Chứng quyền,HOSE,06/04/2021,Chứng quyền đáo hạn
479,TP4A1006,VN0TP4A10062,Trái phiếu Chính phủ BLPH đợt 10/2006,Trái phiếu,Trái phiếu chuyên biệt,06/04/2021,Trái phiếu đáo hạn
480,CVPB2017,VN0CVPB20172,Chứng quyền.VPB.KIS.M.CA.T.01,Chứng quyền,HOSE,06/04/2021,Hủy niêm yết do đáo hạn chứng quyền
481,CEIB2001,VN0CEIB20017,Chứng quyền.EIB.KIS.M.CA.T.01,Chứng quyền,HOSE,06/04/2021,Hủy niêm yết do đáo hạn chứng quyền
482,TP1A1406,VN0TP1A14060,Trái phiếu Chính phủ BLPH đợt 14/2006,Trái phiếu,Trái phiếu chuyên biệt,05/04/2021,Trái phiếu đáo hạn
483,CSTB2012,VN0CSTB20121,Chứng quyền STB-HSC-MET01,Chứng quyền,HOSE,02/04/2021,Chứng quyền đáo hạn
484,CVPB2012,VN0CVPB20123,Chứng quyền VPB-HSC-MET04,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn chứng quyền
485,CMSN2011,VN0CMSN20113,Chứng quyền MSN-HSC-MET03,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn
486,CTCB2010,VN0CTCB20109,Chứng quyền TCB-HSC-MET04,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn
487,CVRE2012,VN0CVRE20123,Chứng quyền VRE-HSC-MET05,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn chứng quyền
488,CVHM2009,VN0CVHM20093,Chứng quyền VHM-HSC-MET03,Chứng quyền,HOSE,02/04/2021,Chứng quyền đáo hạn
489,CHPG2021,VN0CHPG20212,Chứng quyền HPG-HSC-MET04,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn
490,CFPT2011,VN0CFPT20110,Chứng quyền FPT-HSC-MET05,Chứng quyền,HOSE,02/04/2021,Chứng quyền đáo hạn
491,CVIC2006,VN0CVIC20068,Chứng quyền VIC-HSC-MET01,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn chứng quyền
492,CMBB2009,VN0CMBB20098,Chứng quyền MBB-HSC-MET06,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn
493,CVNM2013,VN0CVNM20133,Chứng quyền VNM-HSC-MET05,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn chứng quyền
494,CPNJ2009,VN0CPNJ20099,Chứng quyền PNJ-HSC-MET03,Chứng quyền,HOSE,02/04/2021,Chứng quyền đáo hạn
495,CFPT2010,VN0CFPT20102,Chứng quyền.FPT.VND.M.CA.T.2020.02,Chứng quyền,HOSE,31/03/2021,Chứng quyền đáo hạn
496,CMBB2008,VN0CMBB20080,Chứng quyền.MBB.VND.M.CA.T.2020.02,Chứng quyền,HOSE,31/03/2021,Chứng quyền đáo hạn
497,CVPB2010,VN0CVPB20107,Chứng quyền.VPB.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Hủy niêm yết do đáo hạn
498,CVNM2012,VN0CVNM20125,Chứng quyền.VNM.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Hủy niêm yết do đáo hạn
499,CTCB2009,VN0CTCB20091,Chứng quyền.TCB.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Hủy niêm yết do đáo hạn chứng quyền
500,CSTB2011,VN0CSTB20113,Chứng quyền.STB.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Hủy niêm yết do đáo hạn chứng quyền
501,CMSN2010,VN0CMSN20105,Chứng quyền.MSN.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Chứng quyền đáo hạn
502,TSM,VN000000TSM1,Cổ phiếu Công ty Cổ phần Xi măng Tiên Sơn Hà Tây,Cổ phiếu,Đại chúng chưa niêm yết,31/03/2021,Công ty cổ phần Xi măng Tiên Sơn Hà Tây không đáp ứng điều kiện là Công ty đại chúng.
503,VIC11901,VN0VIC119012,Trái phiếu VIC122020,Trái phiếu,HOSE,25/03/2021,Trái phiếu đến thời gian đáo hạn
504,BHV,VN000000BHV3,Cổ phiếu Công ty cổ phần Bá Hiến,Cổ phiếu,UpCOM,25/03/2021,Công ty cổ phần Bá Hiến không còn đáp ứng điều kiện là Công ty đại chúng.
505,TD1621452,VNTD16214528,Trái phiếu Chính phủ đấu thầu đợt 30/2016,Trái phiếu,Trái phiếu chuyên biệt,24/03/2021,Trái phiếu đáo hạn
506,TP4A0806,VN0TP4A08066,Trái phiếu Chính phủ BLPH đợt 8/2006,Trái phiếu,Trái phiếu chuyên biệt,24/03/2021,Trái phiếu đáo hạn
507,CFPT2015,VN0CFPT20151,Chứng quyền FPT/5M/SSI/C/EU/Cash-08,Chứng quyền,HOSE,23/03/2021,Hủy niêm yết do đáo hạn
508,MDN,VN000000MDN6,Cổ phiếu Công ty cổ phần Tổng Công ty May Đồng Nai,Cổ phiếu,UpCOM,16/03/2021,Cổ phiếu Công ty cổ phần Tổng công ty May Đồng Nai không đáp ứng điều kiện là Công ty đại chúng.
509,CSTB2013,VN0CSTB20139,Chứng quyền STB/5M/SSI/C/EU/Cash-08,Chứng quyền,HOSE,15/03/2021,Hủy niêm yết do đáo hạn
510,CMBB2011,VN0CMBB20114,Chứng quyền MBB/5M/SSI/C/EU/Cash-08,Chứng quyền,HOSE,15/03/2021,Chứng quyền đáo hạn
511,CNVL2002,VN0CNVL20028,Chứng quyền.NVL.KIS.M.CA.T.03,Chứng quyền,HOSE,11/03/2021,Hủy niêm yết do đáo hạn
512,CVNM2007,VN0CVNM20075,Chứng quyền.VNM.KIS.M.CA.T.05,Chứng quyền,HOSE,11/03/2021,Hủy niêm yết do đáo hạn chứng quyền
513,TD1621451,VNTD16214510,Trái phiếu Chính phủ đấu thầu đợt 24/2016,Trái phiếu,Trái phiếu chuyên biệt,10/03/2021,Trái phiếu đáo hạn
514,TP1A0906,VN0TP1A09060,Trái phiếu Chính phủ BLPH đợt 9/2006,Trái phiếu,Trái phiếu chuyên biệt,09/03/2021,Trái phiếu đáo hạn
515,TD1621450,VNTD16214502,Trái phiếu Chính phủ đấu thầu đợt 20/2016,Trái phiếu,Trái phiếu chuyên biệt,03/03/2021,Trái phiếu đáo hạn
516,CMSN2014,VN0CMSN20147,Chứng quyền.MSN.KIS.M.CA.T.08,Chứng quyền,HOSE,03/03/2021,Hủy niêm yết do đáo hạn chứng quyền
517,CSTB2015,VN0CSTB20154,Chứng quyền.STB.KIS.M.CA.T.09,Chứng quyền,HOSE,03/03/2021,Hủy niêm yết do đáo hạn
518,CVIC2007,VN0CVIC20076,Chứng quyền.VIC.KIS.M.CA.T.08,Chứng quyền,HOSE,03/03/2021,Chứng quyền đáo hạn
519,CVNM2016,VN0CVNM20166,Chứng quyền.VNM.KIS.M.CA.T.07,Chứng quyền,HOSE,03/03/2021,Hủy niêm yết do đáo hạn chứng quyền
520,CVNM2015,VN0CVNM20158,Chứng quyền CVNM03MBS20CE,Chứng quyền,HOSE,02/03/2021,Hủy niêm yết do đáo hạn chứng quyền
521,CMSN2013,VN0CMSN20139,Chứng quyền CMSN03MBS20CE,Chứng quyền,HOSE,02/03/2021,Hủy niêm yết do đáo hạn
522,CHPG2015,VN0CHPG20154,Chứng quyền HPG/7.5M/SSI/C/EU/Cash-06,Chứng quyền,HOSE,02/03/2021,Hủy niêm yết do đáo hạn
523,TD1621449,VNTD16214494,Trái phiếu Chính phủ đấu thầu đợt 19/2016,Trái phiếu,Trái phiếu chuyên biệt,26/02/2021,Trái phiếu đáo hạn
524,TP4A1606,VN0TP4A16069,Trái phiếu Chính phủ BLPH đợt 16/2006,Trái phiếu,Trái phiếu chuyên biệt,26/02/2021,
525,TD1621448,VNTD16214486,Trái phiếu Chính phủ đấu thầu đợt 17/2016,Trái phiếu,Trái phiếu chuyên biệt,25/02/2021,Trái phiếu đáo hạn
526,TP4A0706,VN0TP4A07068,Trái phiếu Chính phủ BLPH đợt 7/2006,Trái phiếu,Trái phiếu chuyên biệt,23/02/2021,
527,TD1121021,VNTD11210216,Trái phiếu Chính phủ đấu thầu đợt 08/2011,Trái phiếu,Trái phiếu chuyên biệt,22/02/2021,Trái phiếu đáo hạn
528,CHPG2017,VN0CHPG20170,Chứng quyền.HPG.KIS.M.CA.T.08,Chứng quyền,HOSE,19/02/2021,Hủy niêm yết do đáo hạn
529,CVRE2010,VN0CVRE20107,Chứng quyền.VRE.KIS.M.CA.T.08,Chứng quyền,HOSE,19/02/2021,Hủy niêm yết do đáo hạn
530,CTCH2002,VN0CTCH20023,Chứng quyền.TCH.KIS.M.CA.T.01,Chứng quyền,HOSE,19/02/2021,Hủy niêm yết do đáo hạn chứng quyền
531,CKDH2003,VN0CKDH20038,Chứng quyền.KDH.KIS.M.CA.T.01,Chứng quyền,HOSE,19/02/2021,Hủy niêm yết do đáo hạn
532,TD1621447,VNTD16214478,Trái phiếu Chính phủ đấu thầu đợt 15/2016,Trái phiếu,Trái phiếu chuyên biệt,18/02/2021,Trái phiếu đáo hạn
533,CTCB2011,VN0CTCB20117,Chứng quyền CTCB03MBS20CE,Chứng quyền,HOSE,17/02/2021,Hủy niêm yết do đáo hạn chứng quyền
534,CPNJ2010,VN0CPNJ20107,Chứng quyền CPNJ03MBS20CE,Chứng quyền,HOSE,17/02/2021,Chứng quyền đáo hạn
535,CVPB2014,VN0CVPB20149,Chứng quyền CVPB03MBS20CE,Chứng quyền,HOSE,17/02/2021,Hủy niêm yết do đáo hạn
536,CMWG2012,VN0CMWG20127,Chứng quyền MWG/5M/SSI/C/EU/Cash-07,Chứng quyền,HOSE,09/02/2021,Hủy niêm yết do đáo hạn chứng quyền
537,CPNJ2008,VN0CPNJ20081,Chứng quyền PNJ/5M/SSI/C/EU/Cash-07,Chứng quyền,HOSE,09/02/2021,Hủy niêm yết do đáo hạn
538,CVNM2010,VN0CVNM20109,Chứng quyền VNM/5M/SSI/C/EU/Cash-07,Chứng quyền,HOSE,09/02/2021,Chứng quyền đáo hạn
539,CVJC2005,VN0CVJC20058,Chứng quyền VJC/5M/SSI/C/EU/Cash-07,Chứng quyền,HOSE,09/02/2021,Hủy niêm yết do đáo hạn
540,CVHM2007,VN0CVHM20077,Chứng quyền VHM/5M/SSI/C/EU/Cash-07,Chứng quyền,HOSE,09/02/2021,Hủy niêm yết do đáo hạn
541,VDB111018,VNVDB1110180,Trái phiếu được Chính phủ bảo lãnh,Trái phiếu,Trái phiếu chuyên biệt,09/02/2021,
542,TP4A0406,VN0TP4A04065,Trái phiếu Chính phủ BLPH đợt 4/2006,Trái phiếu,Trái phiếu chuyên biệt,09/02/2021,
543,TTJ,VN000000TTJ5,Cổ phiếu Công ty cổ phần Thủy Tạ,Cổ phiếu,UpCOM,01/02/2021,Công ty không còn đáp ứng điều kiện là công ty đại chúng.
544,VPL11810,VN0VPL118105,Trái phiếu Trái phiếu VPL12021,Trái phiếu,HOSE,29/01/2021,
545,VDB111009,VNVDB1110099,Trái phiếu được Chính phủ bảo lãnh,Trái phiếu,Trái phiếu chuyên biệt,28/01/2021,Trái phiếu đáo hạn
546,TP4A0306,VN0TP4A03067,Trái phiếu Chính phủ BLPH đợt 03/2006,Trái phiếu,Trái phiếu chuyên biệt,26/01/2021,Trái phiếu đáo hạn
547,BVBS16318,VNBVBS163189,Trái phiếu Ngân hàng Chính sách Xã hội,Trái phiếu,Trái phiếu chuyên biệt,26/01/2021,Trái phiếu đáo hạn
548,TP4A0206,VN0TP4A02069,Trái phiếu Chính phủ BLPH đợt 02/2006,Trái phiếu,Trái phiếu chuyên biệt,20/01/2021,Trái phiếu đáo hạn
549,BVDB16105,VNBVDB161057,Trái phiếu Ngân hàng Phát triển Việt Nam,Trái phiếu,Trái phiếu chuyên biệt,20/01/2021,Trái phiếu đáo hạn
550,CHPG2012,VN0CHPG20121,Chứng quyền HPG/6M/SSI/C/EU/Cash-06,Chứng quyền,HOSE,19/01/2021,Chứng quyền đáo hạn
551,CFPT2008,VN0CFPT20086,Chứng quyền FPT-HSC-MET04,Chứng quyền,HOSE,15/01/2021,Chứng quyền đáo hạn
552,CPNJ2006,VN0CPNJ20065,Chứng quyền PNJ-HSC-MET02,Chứng quyền,HOSE,15/01/2021,Hủy niêm yết do đáo hạn chứng quyền
553,CMWG2010,VN0CMWG20101,Chứng quyền MWG-HSC-MET05,Chứng quyền,HOSE,15/01/2021,Hủy niêm yết do đáo hạn
554,CVNM2008,VN0CVNM20083,Chứng quyền VNM-HSC-MET04,Chứng quyền,HOSE,15/01/2021,Chứng quyền đáo hạn
555,CHPG2016,VN0CHPG20162,Chứng quyền HPG-HSC-MET03,Chứng quyền,HOSE,15/01/2021,Chứng quyền đáo hạn
556,CMBB2007,VN0CMBB20072,Chứng quyền MBB-HSC-MET05,Chứng quyền,HOSE,15/01/2021,Hủy niêm yết do đáo hạn chứng quyền
557,CTCB2007,VN0CTCB20075,Chứng quyền TCB-HSC-MET03,Chứng quyền,HOSE,15/01/2021,Hủy niêm yết do đáo hạn
558,CVRE2008,VN0CVRE20081,Chứng quyền VRE-HSC-MET04,Chứng quyền,HOSE,15/01/2021,Hủy niêm yết do đáo hạn
559,CVHM2005,VN0CVHM20051,Chứng quyền VHM-HSC-MET02,Chứng quyền,HOSE,15/01/2021,Hủy niêm yết do đáo hạn
560,CMSN2006,VN0CMSN20063,Chứng quyền MSN-HSC-MET02,Chứng quyền,HOSE,15/01/2021,Hủy niêm yết do đáo hạn
561,CVPB2008,VN0CVPB20081,Chứng quyền VPB-HSC-MET03,Chứng quyền,HOSE,15/01/2021,Hủy niêm yết do đáo hạn chứng quyền
562,CREE2005,VN0CREE20053,Chứng quyền REE-HSC-MET03,Chứng quyền,HOSE,15/01/2021,Hủy niêm yết do đáo hạn
563,KDF,VN000000KDF6,Cổ phiếu Công ty cổ phần Thực phẩm Đông lạnh KIDO,Cổ phiếu,UpCOM,15/01/2021,Cổ phiếu hết hiệu lực lưu hành do Công ty cổ phần Thực phẩm Đông lạnh KIDO hoán đổi cổ phiếu để sáp nhập vào Công ty cổ phần Tập đoàn KIDO
564,CHPG2023,VN0CHPG20238,HPG/ACBS/Call/EU/Cash/3M/01,Chứng quyền,HOSE,13/01/2021,Hủy niêm yết do đáo hạn
565,BVDB16104,VNBVDB161040,Trái phiếu Ngân hàng Phát triển Việt Nam,Trái phiếu,Trái phiếu chuyên biệt,13/01/2021,Trái phiếu đáo hạn
566,CMWG2014,VN0CMWG20143,Chứng quyền MWG/BSC/C/3M/EU/Cash/2020-01,Chứng quyền,HOSE,11/01/2021,Chứng quyền đáo hạn
567,TD1621446,VNTD16214460,Trái phiếu Chính phủ đấu thầu đợt 02/2016,Trái phiếu,Trái phiếu chuyên biệt,07/01/2021,Trái phiếu đáo hạn
568,BVDB16103,VNBVDB161032,Trái phiếu Ngân hàng Phát triển Việt Nam,Trái phiếu,Trái phiếu chuyên biệt,06/01/2021,Trái phiếu đáo hạn
569,QNGB15364,VNQNGB153641,Trái phiếu Chính quyền địa phương tỉnh Quảng Ninh năm 2015,Trái phiếu,Trái phiếu chuyên biệt,31/12/2020,Trái phiếu đáo hạn
570,TL1520274,VNTL15202748,Trái phiếu Chính phủ phát hành riêng lẻ năm 2015,Trái phiếu,Trái phiếu chuyên biệt,30/12/2020,trái phiếu đáo hạn
571,HCMA1905,VN0HCMA19057,Trái phiếu đô thị Tp HCM BLPH đợt 19/2005,Trái phiếu,HOSE,29/12/2020,Trái phiếu đáo hạn
572,VPL11811,VN0VPL118113,Trái phiếu VPL122020,Trái phiếu,HOSE,29/12/2020,Trái phiếu đến thời gian đáo hạn
573,CII11722,VN0CII117229,Trái phiếu CII122020,Trái phiếu,HOSE,29/12/2020,Trái phiếu đến thời gian đáo hạn
574,TP4A3205,VN0TP4A32058,Trái phiếu Chính phủ BLPH đợt 32/2005,Trái phiếu,Trái phiếu chuyên biệt,25/12/2020,Trái phiếu đáo hạn
575,VIC11814,VN0VIC118147,Trái phiếu VIC112020,Trái phiếu,HOSE,25/12/2020,Trái phiếu đến thời gian đáo hạn
576,PBK,VN000000PBK9,Cổ phiếu Công ty cổ phần Điện lực Dầu khí Bắc Kạn,Cổ phiếu,UpCOM,25/12/2020,Công ty cổ phần Điện lực Dầu khí Bắc Kạn hủy đăng ký chứng khoán do giải thể doanh nghiệp
577,TP4A2905,VN0TP4A29054,Trái phiếu Chính phủ BLPH đợt 29/2005,Trái phiếu,Trái phiếu chuyên biệt,23/12/2020,Trái phiếu đáo hạn
578,BVBS15098,VNBVBS150988,Trái phiếu Ngân hàng Chính sách Xã hội,Trái phiếu,Trái phiếu chuyên biệt,22/12/2020,Trái phiếu đáo hạn
579,TP4A3105,VN0TP4A31050,Trái phiếu Chính phủ BLPH đợt 31/2005,Trái phiếu,Trái phiếu chuyên biệt,21/12/2020,Trái phiếu đáo hạn
580,CHPG2019,VN0CHPG20196,Chứng quyền CHPG02MBS20CE,Chứng quyền,HOSE,21/12/2020,Hủy niêm yết do đáo hạn chứng quyền
581,CSTB2009,VN0CSTB20097,Chứng quyền CSTB02MBS20CE,Chứng quyền,HOSE,21/12/2020,Hủy niêm yết do đáo hạn chứng quyền
582,CFPT2009,VN0CFPT20094,Chứng quyền CFPT02MBS20CE,Chứng quyền,HOSE,21/12/2020,Hủy niêm yết do đáo hạn
583,CTCB2008,VN0CTCB20083,Chứng quyền CTCB02MBS20CE,Chứng quyền,HOSE,21/12/2020,Chứng quyền đáo hạn
584,CMWG2011,VN0CMWG20119,Chứng quyền CMWG02MBS20CE,Chứng quyền,HOSE,21/12/2020,Chứng quyền đáo hạn
585,BDC,VN000000BDC2,Cổ phiếu Tổng Công ty Xây dựng Bạch Đằng - CTCP,Cổ phiếu,UpCOM,21/12/2020,Tổng Công ty Xây dựng Bạch Đằng - CTCP không đáp ứng điều kiện là Công ty đại chúng
586,TP4A3005,VN0TP4A30052,Trái phiếu Chính phủ BLPH đợt 30/2005,Trái phiếu,Trái phiếu chuyên biệt,18/12/2020,Trái phiếu đáo hạn
587,HCMA1805,VN0HCMA18059,Trái phiếu đô thị Tp HCM BLPH đợt 18/2005,Trái phiếu,HOSE,18/12/2020,Trái phiếu đáo hạn
588,CSTB2002,VN0CSTB20022,Chứng quyền.STB.KIS.M.CA.T.03,Chứng quyền,HOSE,17/12/2020,Hủy niêm yết do đáo hạn
589,CVNM2002,VN0CVNM20026,Chứng quyền.VNM.KIS.M.CA.T.03,Chứng quyền,HOSE,17/12/2020,Hủy niêm yết do đáo hạn chứng quyền
590,CVRE2003,VN0CVRE20032,Chứng quyền.VRE.KIS.M.CA.T.04,Chứng quyền,HOSE,17/12/2020,Hủy niêm yết do đáo hạn chứng quyền
591,CNVL2001,VN0CNVL20010,Chứng quyền.NVL.KIS.M.CA.T.02,Chứng quyền,HOSE,17/12/2020,Hủy niêm yết do đáo hạn
592,CSBT2001,VN0CSBT20014,Chứng quyền.SBT.KIS.M.CA.T.02,Chứng quyền,HOSE,17/12/2020,Hủy niêm yết do đáo hạn
593,CVJC2001,VN0CVJC20017,Chứng quyền.VJC.KIS.M.CA.T.02,Chứng quyền,HOSE,17/12/2020,Chứng quyền đáo hạn
594,CDPM2002,VN0CDPM20029,Chứng quyền.DPM.KIS.M.CA.T.03,Chứng quyền,HOSE,17/12/2020,Chứng quyền đáo hạn
595,CHDB2003,VN0CHDB20037,Chứng quyền.HDB.KIS.M.CA.T.02,Chứng quyền,HOSE,17/12/2020,Chứng quyền đáo hạn
596,CHPG2002,VN0CHPG20022,Chứng quyền.HPG.KIS.M.CA.T.04,Chứng quyền,HOSE,17/12/2020,Hủy niêm yết do đáo hạn
597,CVHM2001,VN0CVHM20010,Chứng quyền.VHM.KIS.M.CA.T.02,Chứng quyền,HOSE,17/12/2020,Hủy niêm yết do đáo hạn chứng quyền
598,CVIC2001,VN0CVIC20019,Chứng quyền.VIC.KIS.M.CA.T.03,Chứng quyền,HOSE,17/12/2020,Hủy niêm yết do đáo hạn chứng quyền
599,CMSN2001,VN0CMSN20014,Chứng quyền.MSN.KIS.M.CA.T.03,Chứng quyền,HOSE,17/12/2020,Hủy niêm yết do đáo hạn
600,CCTD2001,VN0CCTD20014,Chứng quyền.CTD.KIS.M.CA.T.01,Chứng quyền,HOSE,17/12/2020,Chứng quyền đáo hạn
601,CROS2002,VN0CROS20029,Chứng quyền.ROS.KIS.M.CA.T.02,Chứng quyền,HOSE,17/12/2020,Chứng quyền đáo hạn
602,TL1520273,VNTL15202730,Trái phiếu Chính phủ phát hành riêng lẻ năm 2015,Trái phiếu,Trái phiếu chuyên biệt,15/12/2020,Trái phiếu đáo hạn
603,HCMA1605,VN0HCMA16053,Trái phiếu đô thị Tp HCM BLPH đợt 16/2005,Trái phiếu,HOSE,09/12/2020,Trái phiếu đáo hạn
604,CMSN2008,VN0CMSN20089,Chứng quyền CMSN02MBS20CE,Chứng quyền,HOSE,08/12/2020,Hủy niêm yết do đáo hạn
605,CVNM2009,VN0CVNM20091,Chứng quyền CVNM02MBS20CE,Chứng quyền,HOSE,08/12/2020,Hủy niêm yết do đáo hạn chứng quyền
606,BVDB15327,VNBVDB153278,Trái phiếu Ngân hàng Phát triển Việt Nam,Trái phiếu,Trái phiếu chuyên biệt,02/12/2020,Trái phiếu đáo hạn
607,CHPG2013,VN0CHPG20139,Chứng quyền HPG/4.5M/SSI/C/EU/Cash-06,Chứng quyền,HOSE,02/12/2020,Hủy niêm yết do đáo hạn
608,BVBS15095,VNBVBS150954,Trái phiếu Ngân hàng Chính sách Xã hội,Trái phiếu,Trái phiếu chuyên biệt,01/12/2020,Trái phiếu đáo hạn
609,CMWG2007,VN0CMWG20077,Chứng quyền MWG/6M/SSI/C/EU/Cash-05,Chứng quyền,HOSE,01/12/2020,Hủy niêm yết do đáo hạn
610,CVRE2005,VN0CVRE20057,Chứng quyền VRE/6M/SSI/C/EU/Cash-05,Chứng quyền,HOSE,01/12/2020,Chứng quyền đáo hạn
611,CTCB2005,VN0CTCB20059,Chứng quyền TCB/6M/SSI/C/EU/Cash-05,Chứng quyền,HOSE,01/12/2020,Chứng quyền đáo hạn
612,CVHM2002,VN0CVHM20028,Chứng quyền VHM/6M/SSI/C/EU/Cash-05,Chứng quyền,HOSE,01/12/2020,Hủy niêm yết do đáo hạn chứng quyền
613,CVNM2004,VN0CVNM20042,Chứng quyền VNM/6M/SSI/C/EU/Cash-05,Chứng quyền,HOSE,01/12/2020,Hủy niêm yết do đáo hạn
614,CVPB2006,VN0CVPB20065,Chứng quyền VPB/6M/SSI/C/EU/Cash-05,Chứng quyền,HOSE,01/12/2020,Hủy niêm yết do đáo hạn
615,CSTB2004,VN0CSTB20048,Chứng quyền STB/6M/SSI/C/EU/Cash-05,Chứng quyền,HOSE,01/12/2020,Hủy niêm yết do đáo hạn
616,CHPG2008,VN0CHPG20089,Chứng quyền HPG/6M/SSI/C/EU/Cash-05,Chứng quyền,HOSE,01/12/2020,Hủy niêm yết do đáo hạn chứng quyền
617,HCMA1405,VN0HCMA14058,Trái phiếu đô thị Tp HCM BLPH đợt 14/2005,Trái phiếu,HOSE,30/11/2020,Trái phiếu đáo hạn
618,TL1520272,VNTL15202722,Trái phiếu Chính phủ phát hành riêng lẻ năm 2015,Trái phiếu,Trái phiếu chuyên biệt,30/11/2020,Trái phiếu đáo hạn
619,VPK,VN000000VPK7,Cổ phiếu Công ty Cổ phần Bao bì Dầu thực vật,Cổ phiếu,UpCOM,26/11/2020,Công ty cổ phần Bao bì Dầu thực vật hủy đăng ký chứng khoán do giải thể.
620,BVDB15326,VNBVDB153260,Trái phiếu Ngân hàng Phát triển Việt Nam,Trái phiếu,Trái phiếu chuyên biệt,25/11/2020,Trái phiếu đáo hạn
621,BVBS15094,VNBVBS150947,Trái phiếu Ngân hàng Chính sách Xã hội,Trái phiếu,Trái phiếu chuyên biệt,24/11/2020,Trái phiếu đáo hạn
622,CSTB2008,VN0CSTB20089,Chứng quyền CSTB01MBS20CE,Chứng quyền,HOSE,23/11/2020,Hủy niêm yết do đáo hạn chứng quyền
623,CVPB2009,VN0CVPB20099,Chứng quyền CVPB02MBS20CE,Chứng quyền,HOSE,23/11/2020,Hủy niêm yết do đáo hạn
624,CPNJ2007,VN0CPNJ20073,Chứng quyền CPNJ02MBS20CE,Chứng quyền,HOSE,23/11/2020,Chứng quyền đáo hạn
625,HNKD15298,VNHNKD152984,Trái phiếu xây dựng Thủ Đô năm 2015 (đợt 2),Trái phiếu,Trái phiếu chuyên biệt,23/11/2020,Trái phiếu đáo hạn
626,WTN,VN000000WTN1,Cổ phiếu Công ty cổ phần Cấp thoát nước Tây Ninh,Cổ phiếu,Đại chúng chưa niêm yết,23/11/2020,Công ty cổ phần Cấp thoát nước Tây Ninh không đáp ứng điều kiện là Công ty đại chúng.
627,QH052003,VN0QH0520036,Trái phiếu Chính phủ,Trái phiếu,Trái phiếu chuyên biệt,18/11/2020,Trái phiếu đáo hạn
628,BVBS15093,VNBVBS150939,Trái phiếu Ngân hàng Chính sách Xã hội,Trái phiếu,Trái phiếu chuyên biệt,17/11/2020,Trái phiếu đáo hạn
629,HCMA1205,VN0HCMA12052,Trái phiếu đô thị Tp HCM BLPH đợt 12/2005,Trái phiếu,HOSE,13/11/2020,Trái phiếu đáo hạn
630,BVDB15225,VNBVDB152254,Trái phiếu Ngân hàng Phát triển Việt Nam,Trái phiếu,Trái phiếu chuyên biệt,13/11/2020,Trái phiếu đáo hạn
631,TD1520271,VNTD15202714,Trái phiếu Chính phủ đấu thầu đợt 111/2015,Trái phiếu,Trái phiếu chuyên biệt,12/11/2020,Trái phiếu đáo hạn
