STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Loại chứng khoán,Thị trường,Ngày hủy ĐK,Lý do
111,GID,VN000000GID8,Cổ phiếu Công ty cổ phần Dệt may Gia Định,Cổ phiếu,Đại chúng chưa niêm yết,17/02/2022,Công ty cổ phần Dệt May Gia Định không đáp ứng điều kiện là Công ty đại chúng.
112,TD1722378,VNTD17223783,Trái phiếu Chính phủ đấu thầu đợt 15/2017,Trái phiếu,Trái phiếu chuyên biệt,16/02/2022,Trái phiếu đáo hạn
113,DAP,VN000000DAP6,Cổ phiếu CTCP Đông á,Cổ phiếu,UpCOM,15/02/2022,Công ty cổ phần Đông Á hủy tư cách công ty đại chúng.
114,BVDB17217,VNBVDB172179,Trái phiếu Ngân hàng Phát triển Việt Nam đợt 5/2017,Trái phiếu,Trái phiếu chuyên biệt,14/02/2022,Trái phiếu đáo hạn
115,QH072216,VN0QH0722160,Trái phiếu Chính phủ,Trái phiếu,Trái phiếu chuyên biệt,11/02/2022,Trái phiếu đáo hạn
116,MCT,VN000000MCT5,Cổ phiếu Công ty cổ phần Kinh doanh Vật tư và Xây dựng,Cổ phiếu,UpCOM,11/02/2022,Công ty cổ phần Kinh doanh Vật tư và Xây dựng hủy tư cách công ty đại chúng.
117,CPNJ2108,VN0CPNJ21089,Chứng quyền.PNJ.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,Hủy niêm yết do đáo hạn
118,CSTB2111,VN0CSTB21111,Chứng quyền.STB.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,hủy niêm yết do đáo hạn
119,CTCB2110,VN0CTCB21107,Chứng quyền.TCB.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,hủy niêm yết do đáo hạn
120,CVHM2112,VN0CVHM21125,Chứng quyền.VHM.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,Hủy niêm yết do đáo hạn
121,CPNJ2107,VN0CPNJ21071,Chứng quyền PNJ/VCSC/M/Au/T/A3,Chứng quyền,HOSE,11/02/2022,hủy niêm yết do đáo hạn
122,CMSN2109,VN0CMSN21095,Chứng quyền.MSN.VND.M.CA.T.2021.2,Chứng quyền,HOSE,11/02/2022,Hủy niêm yết do đáo hạn
