STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Sàn chuyển đi,Sàn chuyển đến,Ngày hiệu lực,Tiêu đề
67,TV6,VN000000TV63,Cổ phiếu Công ty cổ phần Thương mại Đầu tư xây lắp điện Thịnh Vượng,HNX,UpCOM,20/05/2021,"TV6: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu TV6 từ thị trường niêm yết HNX sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
68,THI,VN000000THI2,Cổ phiếu Công ty cổ phần Thiết bị điện,HOSE,HNX,24/05/2021,"THI: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu THI từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
69,CAV,VN000000CAV6,Cổ phiếu Công ty cổ phần Dây cáp điện Việt Nam,HOSE,HNX,19/05/2021,"CAV: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu CAV từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
70,S74,VN000000S743,Cổ phiếu Công ty cổ phần Sông Đà 7.04,HNX,UpCOM,07/06/2021,"S74: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu S74 từ thị trường HNX sang thị trường UPCOM"
71,MPT,VN000000MPT7,Cổ phiếu Công ty cổ phần Tập đoàn Trường Tiền,HNX,UpCOM,27/05/2021,"MPT: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu MPT từ thị trường HNX sang thị trường UPCOM"
72,PXT,VN000000PXT4,Cổ phiếu CTCP Xây lắp Đường ống Bể chứa Dầu khí,HOSE,UpCOM,01/06/2021,"PXT: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký cổ phiếu PXT từ thị trường HOSE sang thị trường UPCOM"
73,ATG,VN000000ATG1,Cổ phiếu Công ty cổ phần An Trường An,HOSE,UpCOM,04/05/2021,"ATG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu ATG từ thị trường niêm yết HOSE sang thị trường UpCOM"
74,QBS,VN000000QBS0,Cổ phiếu Công ty cổ phần Xuất nhập khẩu Quảng Bình,HOSE,HNX,14/05/2021,"QBS: Chuyển dữ liệu đăng ký, lưu ký chứng khoán QBS từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
75,NGC,VN000000NGC0,Cổ phiếu CTCP Chế Biến Thủy sản xuất khẩu Ngô Quyền,HNX,UpCOM,25/05/2021,"NGC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu từ thị trường HNX sang thị trường UPCOM"
76,ASG,VN000000ASG3,Cổ phiếu Công ty cổ phần Tập đoàn ASG,HOSE,HNX,06/05/2021,"ASG: Thông báo thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu ASG từ thị trường niêm yết HOSE sang thị trường niêm yết HNX như sau:"
77,BSI,VN000000BSI7,Cổ phiếu Công ty cổ phần Chứng khoán Ngân hàng Đâu tư và Phát triển Việt Nam,HOSE,HNX,05/05/2021,"BSI: Thông báo thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
78,CLG,VN000000CLG4,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Nhà Đất Cotec,HOSE,UpCOM,23/04/2021,"CLG: Thông báo chuyển dữ liệu đăng ký, lưu ký cổ phiếu từ thị trường HOSE sang thị trường UPCOM"
79,LO5,VN000000LO52,Cổ phiếu Công ty cổ phần Lilama 5,HNX,UpCOM,07/05/2021,"LO5: Thông báo thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu LO5 từ thị trường HNX sang thị trường UPCOM"
80,PAN,VN000000PAN5,Cổ phiếu Công ty cổ phần Tập đoàn PAN,HOSE,HNX,15/04/2021,"PAN: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký cổ phiếu PAN từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
81,TVB,VN000000TVB8,Cổ phiếu Công ty cổ phần Chứng khoán Trí Việt,HOSE,HNX,15/04/2021,"TVB: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký cổ phiếu TVB từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
82,LAF,VN000000LAF0,Cổ phiếu CTCP Chế biến hàng XK Long An,HOSE,HNX,13/04/2021,"LAF: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký cổ phiếu LAF từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
83,VND,VN000000VND7,Cổ phiếu CTCP Chứng khoán VnDirect,HOSE,HNX,02/04/2021,"VND: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu VND từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
84,HLY,VN000000HLY6,Cổ phiếu Công ty Cổ phần Viglacera Hạ Long I,HNX,HNX,22/04/2021,"HLY: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu HLY từ thị trường HNX sang thị trường UPCOM"
85,HLY,VN000000HLY6,Cổ phiếu Công ty cổ phần Gốm xây dựng Yên Hưng,HNX,UpCOM,22/04/2021,"HLY: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu HLY từ thị trường HNX sang thị trường UPCOM"
86,NSC,VN000000NSC5,Cổ phiếu Công ty cổ phần Tập đoàn Giống cây trồng Việt Nam,HOSE,HNX,01/04/2021,"NSC: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu NSC từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
87,VFG,VN000000VFG6,Cổ phiếu Công ty Cổ phần Khử Trùng Việt Nam,HOSE,HNX,31/03/2021,"VFG: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu VFG từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
88,ABT,VN000000ABT2,Cổ phiếu CTCP Xuất nhập khẩu Thuỷ sản Bến Tre,HOSE,HNX,31/03/2021,"ABT: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu ABT từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
89,BBC,VN000000BBC6,Cổ phiếu Công ty cổ phần Bibica,HOSE,HNX,26/03/2021,"BBC: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký chứng khoán BBC từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
90,SSC,VN000000SSC4,Cổ phiếu Công ty Cổ phần Giống cây trồng Miền Nam,HOSE,HNX,26/03/2021,"SSC: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu SSC từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
91,VTS,VN000000VTS2,Cổ phiếu Công ty cổ phần Viglacera Từ Sơn,HNX,UpCOM,13/04/2021,"VTS: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu VTS từ thị trường HNX sang thị trường UPCOM"
92,VCA,VN000000VCA6,Cổ phiếu Công ty Cổ phần Thép VICASA - VNSTEEL,UpCOM,HOSE,03/03/2021,"VCA: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu VCA từ thị trường UPCOM sang thị trường HOSE"
93,BAB,VN000000BAB0,Cổ phiếu Ngân hàng Thương mại cổ phần Bắc Á,UpCOM,HNX,01/03/2021,"BAB: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu BAB từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HNX"
94,HHP,VN000000HHP2,Cổ phiếu Công ty cổ phần Giấy Hoàng Hà Hải Phòng,HNX,HOSE,23/02/2021,"HHP: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký chứng khoán HHP từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
95,ADG,VN000000ADG5,Cổ phiếu Công ty cổ phần Clever Group,UpCOM,HOSE,03/02/2021,"ADG: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu ADG từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HOSE"
96,NHA,VN000000NHA2,Cổ phiếu Tổng công ty Đầu tư Phát triển nhà và Đô thị Nam Hà Nội,HNX,HOSE,15/01/2021,"NHA: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu NHA từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
97,MIG,VN000000MIG9,Cổ phiếu Tổng Công ty Cổ phần Bảo hiểm Quân Đội,UpCOM,HOSE,15/01/2021,"MIG: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu MIG từ thị trường đăng ký giao dịch UPCOM sang thị trường niêm yết HOSE"
98,VIX,VN000000VIX5,Cổ phiếu Công ty cổ phần Chứng khoán VIX,HNX,HOSE,31/12/2020,"VIX: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu VIX từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
